,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,updated_github_id,commit_count,npm_id,npm_url,npm_monthly_downloads,cran_id,go_id,gem_id,hex_id,pypi,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,36,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2024-05-16 12:52:10.000000,2024-05-13 08:40:12,4297.0,1618.0,5687.0,16143.0,2021-01-30 02:36:56,7.18.1,320928.0,45977815.0,100.0,545212.0,545212.0,987.0,https://pypi.org/project/ipython,45315556.0,https://anaconda.org/conda-forge/ipython,2024-05-09 14:15:08.678,27710443.0,1.0,,,,,,,,,,,,,,,,,
2,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,36,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2024-05-16 14:09:23.000000,2024-05-16 14:09:18,4581.0,1913.0,2945.0,12279.0,2024-05-16 14:10:30,7.2.0,17955.0,24997938.0,94.0,283651.0,283651.0,647.0,https://pypi.org/project/notebook,24589848.0,https://anaconda.org/conda-forge/jupyter,2023-10-02 14:08:37.561,4242888.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-10-20 20:06:40.614669,1072.0,32898067.0,9.0,,,,,,,,,,,
3,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,34,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2024-05-15 19:42:31.000000,2024-04-29 14:53:56,540.0,517.0,651.0,1670.0,2024-04-29 14:54:15,7.16.4,1122.0,26316828.0,73.0,272346.0,272346.0,271.0,https://pypi.org/project/nbconvert,25909554.0,https://anaconda.org/conda-forge/nbconvert,2024-04-30 11:52:24.733,17104772.0,1.0,,,,,,,,,,,,,,,,,
4,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,34,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2024-05-09 10:37:12.000000,2024-04-08 12:32:26,350.0,251.0,244.0,616.0,2024-03-27 22:25:50,6.29.4,2390.0,28720595.0,76.0,365005.0,365005.0,182.0,https://pypi.org/project/ipykernel,28711808.0,https://anaconda.org/anaconda/ipykernel,2024-01-22 15:02:52.448,889590.0,1.0,,,,,,12.0,,,,,,,,,,,
5,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,33,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-05-15 11:04:54.000000,2024-05-14 16:55:06,4107.0,741.0,6889.0,18884.0,,,,5459789.0,60.0,87717.0,87717.0,693.0,https://pypi.org/project/bokeh,5164456.0,https://anaconda.org/conda-forge/bokeh,2024-04-12 05:55:15.282,13880666.0,1.0,,,,,,,,,,,,,,,,,
6,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/ydata-profiling,,widgets,33,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2024-05-16 05:33:39.000000,2024-05-07 19:29:08,1611.0,216.0,561.0,12099.0,2024-05-07 19:57:59,4.8.3,96.0,760845.0,61.0,3145.0,3145.0,123.0,https://pypi.org/project/pandas-profiling,756218.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,430401.0,1.0,,,,,,,ydataai/ydata-profiling,1444.0,,,,,,,,,
7,nbformat,True,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,32,jupyter/nbformat,nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,BSD-3-Clause,2015-04-09 01:07:29.000,2024-05-06 22:19:45.000000,2024-04-04 11:20:24,151.0,62.0,82.0,248.0,2024-04-04 11:20:44,5.10.4,284.0,27205849.0,29.0,284347.0,284347.0,80.0,https://pypi.org/project/nbformat,26718890.0,https://anaconda.org/conda-forge/nbformat,2024-04-04 13:59:41.149,22399870.0,1.0,,,,,,13.0,,,,,,,,,,,
8,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,31,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2024-05-13 16:35:05.000000,2024-03-11 09:38:53,605.0,597.0,750.0,3708.0,2024-01-26 21:10:26,1.0.0,,91837.0,43.0,13711.0,13711.0,137.0,https://pypi.org/project/jupyter-book,91837.0,,,,1.0,,,,,,7.0,,1529.0,,,,,,,,,
9,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,31,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2024-05-14 18:16:15.000000,2024-05-14 15:08:32,345.0,239.0,353.0,1454.0,2024-05-14 08:14:02,0.19.1,,184029.0,72.0,8854.0,8854.0,88.0,https://pypi.org/project/ipyleaflet,150563.0,https://anaconda.org/conda-forge/ipyleaflet,2024-05-14 09:17:21.014,1137949.0,1.0,,,,,,,,1184.0,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,9759.0,,,,,,
